id,url,bookTitle,bookImage,bookAuthors
112,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita,The Master and Margarita,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867963l/117833.jpg,"Mikhail Bulgakov,Katherine Tiernan O'Connor,Diana Lewis Burgin,Ellendea Proffer"
113,https://www.goodreads.com/book/show/2623.Great_Expectations,Great Expectations,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327920219l/2623.jpg,Charles Dickens
114,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979l/24583.jpg,"Mark Twain,Guy Cardwell,John Seelye"
115,https://www.goodreads.com/book/show/11588.The_Shining,The Shining,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730l/11588.jpg,Stephen King
116,https://www.goodreads.com/book/show/113436.Eragon,Eragon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852l/113436.jpg,Christopher Paolini
117,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,The Name of the Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610826947l/186074.jpg,Patrick Rothfuss
118,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309211401l/6310.jpg,"Roald Dahl,Quentin Blake"
119,https://www.goodreads.com/book/show/70401.On_the_Road,On the Road,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413588576l/70401.jpg,Jack Kerouac
120,https://www.goodreads.com/book/show/18373.Flowers_for_Algernon,Flowers for Algernon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554312314l/18373.jpg,Daniel Keyes
121,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603739265l/4948._SX318_.jpg,Eric Carle
122,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624l/1618._SY475_.jpg,Mark Haddon
123,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,The Shadow of the Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1157865731l/1232.jpg,"Carlos Ruiz Zafón,Lucia Graves"
124,https://www.goodreads.com/book/show/485894.The_Metamorphosis,The Metamorphosis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359061917l/485894.jpg,"Franz Kafka,Stanley Corngold,Mircea Ivănescu"
125,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,Tuesdays with Morrie,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423763749l/6900.jpg,Mitch Albom
126,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,Looking for Alaska,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394798630l/99561.jpg,"John Green,John Green"
127,https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,The Unbearable Lightness of Being,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265401884l/9717.jpg,"Milan Kundera,Michael Henry Heim"
